arm	programme	seed	klass	level	lid	width	aspect	area	q_width	q_proportion	q_size	q_crinkliness	old_proportion	old_size
baseline	maple-court	1	c	2	llrl	9.496	1.087	98.559	1.000	1.000	1.000	0.000	1.000	0.000
baseline	maple-court	1	c	2	lrlr	2.582	2.621	17.545	1.000	1.000	1.000	0.850	0.081	0.456
baseline	maple-court	1	o	2	lrrrl	1.456	3.633	7.729	0.000	0.999	1.000	1.000	0.000	0.859
baseline	maple-court	1	c	2	rlrrl	3.788	1.839	26.500	1.000	1.000	1.000	0.993	0.794	0.167
baseline	maple-court	1	o	2	rrll	4.401	2.685	52.391	1.000	1.000	1.000	1.000	0.060	0.001
baseline	maple-court	1	o	2	rrrl	4.668	1.389	30.537	1.000	1.000	1.000	1.000	1.000	0.093
baseline	maple-court	1	o	2	rrrrr	2.902	1.623	13.707	0.948	1.000	1.000	1.000	0.970	0.619
baseline	maple-court	2	o	0	lllr	3.774	1.785	25.502	1.000	1.000	1.000	0.000	0.851	0.190
baseline	maple-court	2	c	0	llrlrl	2.390	2.567	14.710	0.999	1.000	1.000	0.000	0.103	0.576
baseline	maple-court	2	c	0	lrlrl	3.277	1.117	12.009	1.000	1.000	1.000	0.575	1.000	0.692
baseline	maple-court	2	o	0	lrlrr	3.180	1.155	11.704	1.000	1.000	1.000	0.567	1.000	0.705
baseline	maple-court	2	c	0	rlllll	3.920	1.904	29.386	1.000	1.000	1.000	0.435	0.722	0.110
baseline	maple-court	2	o	0	rllllr	3.920	1.914	29.538	1.000	1.000	1.000	1.000	0.710	0.108
baseline	maple-court	2	c	0	rlllrl	3.787	1.997	28.768	1.000	1.000	1.000	0.000	0.610	0.121
baseline	maple-court	2	c	0	rrlllr	1.221	3.953	5.930	0.000	1.000	1.000	0.101	0.000	0.914
baseline	maple-court	2	o	0	rrrl	4.251	1.370	24.836	1.000	1.000	1.000	0.274	1.000	0.207
baseline	maple-court	2	c	0	rrrr	2.518	2.322	14.778	1.000	1.000	1.000	0.000	0.259	0.573
baseline	maple-court	2	c	1	llll	6.634	1.672	74.632	1.000	1.000	1.000	0.000	0.943	0.000
baseline	maple-court	2	c	1	lrlrl	3.277	1.117	12.009	1.000	1.000	1.000	0.575	1.000	0.692
baseline	maple-court	2	c	1	lrlrr	3.180	1.155	11.704	1.000	1.000	1.000	0.567	1.000	0.705
baseline	maple-court	2	o	1	lrrrr	4.927	1.584	38.843	1.000	1.000	1.000	1.000	0.986	0.021
baseline	maple-court	2	o	1	rlll	7.460	1.868	105.923	1.000	1.000	1.000	0.000	0.762	0.000
baseline	maple-court	2	o	1	rlrlr	4.496	1.170	23.822	1.000	1.000	1.000	1.000	1.000	0.235
baseline	maple-court	2	o	1	rlrrl	4.300	1.220	22.726	1.000	1.000	1.000	1.000	1.000	0.268
baseline	maple-court	2	c	1	rlrrr	2.137	2.451	11.271	0.421	1.000	1.000	0.430	0.164	0.723
baseline	maple-court	2	c	1	rrrr	2.518	2.322	14.778	1.000	1.000	1.000	0.874	0.259	0.573
baseline	maple-court	2	c	2	llll	6.634	1.672	74.632	1.000	1.000	1.000	0.242	0.943	0.000
baseline	maple-court	2	o	2	llrl	7.792	1.017	62.353	1.000	1.000	1.000	1.000	1.000	0.000
baseline	maple-court	2	c	2	lrlrl	3.277	1.117	12.009	1.000	1.000	1.000	0.575	1.000	0.692
baseline	maple-court	2	c	2	rlllrr	2.349	1.188	6.564	0.968	1.000	1.000	0.000	1.000	0.896
baseline	maple-court	2	o	2	rllrr	6.727	1.077	48.926	1.000	1.000	1.000	1.000	1.000	0.002
baseline	maple-court	2	c	2	rrlll	3.132	1.522	14.977	1.000	1.000	1.000	0.843	0.999	0.564
baseline	maple-court	2	c	2	rrlrr	2.306	1.651	8.797	0.895	1.000	1.000	0.985	0.955	0.821
